"","Product","Date","Stars","Review"
"281","Amazon",2016-07-23,4,"Lots of new music The app itself could be easier to navigate, but I am still going to give it a high rating because if I hear a new song on the radio I have not had a problem also getting to listen to that song on this app for free. Anyway, it is not a perfect interface but they make up for by giving a great selection of music."
"282","Amazon",2013-02-10,2,"can not make it work I have used this app in the past without any trouble on my current phone Motorola Atrix 2 and on a PC and Samsung tablet, but now I cannot get the app to work properly on my Atrix 2. Logging in just would not happen until I restarted the phone, and after finally logging in, now it will not load my cloud music. It just cycles with the message Loading your cloud music... . My connection via wifi is good and everything else works just fine. I am assuming this is caused by a recent update."
"294","Amazon",2016-09-29,4,"I love having this ap to listen to full albums I love having this ap to listen to full albums!it is a pain if it will not load sometimes, but a lot of that is just Internet connection."
"295","Amazon",2015-01-05,5,"Got to have Amazon Music OMG!!! The BEST thing I ever got! I LOVE being able to get the old music I grew up on and the new artists I discover. I have recommended this to everyone I know. The cost of Amazon Prime with all that I get for the dollars is the best money I spend every year. This music just makes it better. I NEVER have trouble playing the music and being able to download music and have it in the cloud so I can hear it anywhere makes this the best music source I have used."
"297","Amazon",2016-06-14,5,"Beats Pandora!!! Beats Pandora! You can go back and listen to a song again, skip unlimited, no commercials/advertisements, and it does not stop playing with are you still listening? "
"299","Amazon",2015-06-26,1,"I only use this to get rid of my Digital Music Credits.... I have rated this a 1 star because I do not WANT to have to be DRM'd to my music, but I own like five songs here, so I occasionally download it- mainly because I get a dollar 1 .mp3 credit for digital purchases at times so... I get this to pick the song I will never listen to: Then I uninstall it."
"304","Amazon",2016-04-03,1,"One Star Really? How about flip a switch And let this run on my Shield Tablet."
"308","Amazon",2015-10-22,3,"Not impressed. it is not horrible, but it does not have near the music selection that spotify does. It wants to charge you for so much."
"312","Amazon",2017-07-22,4,"Four Stars nice"
"313","Amazon",2014-03-04,5,"Amazon MP 3 is easy to use! This is an easy to use site. It provides a cloud for your music and also puts in all cds that you had previously purchased in the cloud which was great for my husband's phone. Thank you Amazon for another great service."
"316","Amazon",2015-08-26,1,"Worst app and service ever there is never any good ... Worst app and service ever there is never any good music to download without paying for it. I would be upset but its included in prime."
"326","Amazon",2016-03-30,5,"Best Music App Available Better Than Pandora, Google Music, iTunes The selection is incredible. The quality is top notch. Classical bundle varieties very educational."
"330","Amazon",2017-03-15,5,"Five Stars k"
"332","Amazon",2017-04-05,4,"Only USA Huge number of songs and type of music"
"334","Amazon",2014-08-23,1,"Angry In Idaho As a long time Amazon Prime customer I cannot think of a time I have been more upset and hindered by a product in my life. I woke up today to find my cell phone off, once I powered it up I was greeted by rapid fire crash reports showing that prime music had crashed. My phone had to be put into recovery mode twice before the app could be removed. I was able to sent the crash reports to Amazon. I am incredibly upset as I missed several service calls and am setback at least two hours."
"340","Amazon",2016-03-08,5,"Five Stars Great music. Love listening to it while at work and driving. love this app."
"342","Amazon",2015-04-17,3,"Pros and Cons I really like the idea of unlimited music. The problem: it is not unlimited. For the annual fee, I expected to be able to stream any music I wanted. There are limits to the free music. Even older genres must be purchased. The ability to rewind and replay songs is excellent and a definite plus over regular streaming apps like Pandora, Milk, etc., but the complete freedom of free streaming apps is a plus over Amazon music."
"345","Amazon",2016-11-03,5,"Right on Love it"
"346","Amazon",2013-02-03,5,"wont open on Samsung Galaxy II --- RESOLVED. I am Amazon stuff all the way. But for the life of me I cannot get the Cloud to open with this application. Downloaded smoothly, icon on the screen, opens my device stored music list. But when I try to open the cloud, I get Exception number 151 and connection error. I followed all the instructions from the site to get the Cloud side of the application to open, but to no avail. So, I have written this particular app off. My Kindle Fire and my computer and laptop all run the Cloud flawlessly, but not the phone.UPDATE: finally got this to load up and it works fine. now hitches with playback or other issues. Great resource on my Kindle Fire too!"
"347","Amazon",2016-11-23,2,"Used to work fine Loved the app until the update that took the option to use it with ford sync, I hope they bring that feature back"
"356","Amazon",2017-06-26,5,"The best music app out there! Greatest app! All your favorite songs, no adds, unlimited skips and replays. does not ask you if you are still listening. Just another awesome addition to your Amazon Prime account"
"359","Amazon",2016-08-09,5,"absolutely amazing, I do not know how they do it absolutely amazing. Leave it to Amazon to come up with such a great service for Prime members. I admit I have an eclectic love of all types of music. I love all types and when I go to look for it , sure enough it is there. Thank you Amazon for Amazon Music as it has become a favorite"
"362","Amazon",2017-07-20,4,"Cool Cool. Just started using it. Haven't figured it all out, so far I like it"
"365","Amazon",2017-10-14,5,"Five Stars I love Amazon music period. On any device it is awesome."
"366","Amazon",2017-06-19,5,"Five Stars Just getting started with this looks good so far"
"367","Amazon",2015-03-18,1,"crashes then crashes again I loves this app til the recent update, now it crashes and when you try to send a report it crashes after generating the report. Lovely. Amazon upped the cost of prime touting new services like prime music but then they can not write an app to let them work, just like prime video this service is sub-par."
"368","Amazon",2016-09-13,5,"Five Stars 😊"
