"token","avg_rating","modifier"
"compare",3.5593220338983,0
"compete",1.81818181818182,-1
"complain",3.90909090909091,1
"complaint",4.29126213592233,1
"complete",4.03846153846154,1
"completely",3.0952380952381,0
"completely free",4.85714285714286,1
"complicate",2,-1
"compliment",4.83333333333333,1
"computer",4.03030303030303,1
"con",3.9047619047619,1
"concept",3.6,0
"confuse",2.78260869565217,-1
"connect",3.42857142857143,0
"connection",3.51515151515152,0
"constantly",2.82954545454545,-1
"contemporary",4.14285714285714,1
"content",3.10588235294118,0
"continue",3.65753424657534,0
"continuous",4.1,1
"control",3.76923076923077,0
"convenience",4.6,1
"convenient",4.53947368421053,1
"cook",4.9,1
"cool",4.62116991643454,1
"correct",2.44444444444444,-1
"correctly",1.66666666666667,-1
"cost",4.11363636363636,1
"count",4.25,1
"countless",4.42857142857143,1
"country",4.24390243902439,1
"couple",3.80701754385965,0
"cover",3.90909090909091,1
"crash",2.47552447552448,-1
"crash constantly",1.44444444444444,-1
"crazy",3.94285714285714,1
"create",4.46926229508197,1
"create playlists",4.31034482758621,1
"create station",4.41666666666667,1
"credit",2.79166666666667,-1
"crisp",4.57142857142857,1
"crystal",4.90909090909091,1
"cumbersome",2.7,-1
"current",3.76923076923077,0
"custom",4.58730158730159,1
"custom radio",4.85714285714286,1
"custom station",4.38709677419355,1
"customer",3.04040404040404,-1
"customizable",4.15384615384615,1
"customize",4.73267326732673,1
"customize station",4.85714285714286,1
"cut",3.6,0
"da",4.875,1
"dad",4.25,1
"daily",4.68888888888889,1
"daily basis",4.375,1
"dance",4.76595744680851,1
"date",3.75,0
"datum",3.73333333333333,0
"daughter",4.60377358490566,1
"daughter love",4.33333333333333,1
"day",4.41025641025641,1
"day love",4.83333333333333,1
"day ship",4.3,1
"dc",4.09090909090909,1
"deal",4.08988764044944,1
"decade",4.85714285714286,1
"decent",3.40909090909091,0
"decent selection",3.57142857142857,0
"decide",3.61016949152542,0
"decision",4.55555555555556,1
"defiantly",5,1
"delete",2.42690058479532,-1
"delight",5,1
"deliver",3.82352941176471,0
"delivery",3.9,1
"depend",4.66666666666667,1
"dependable",4.75,1
"describe",4.31034482758621,1
"design",2.975,-1
"desire",4.04761904761905,1
"desk",4.44444444444444,1
"desktop",3.91666666666667,1
"detail",3.83333333333333,0
"device",3.81359223300971,0
"die",4.30769230769231,1
"difficult",2.56716417910448,-1
"dig",4.21428571428571,1
"digital",3.87096774193548,1
"dinner",4.66666666666667,1
"directly",4.0625,1
"disappoint",2.78321678321678,-1
"discount",4.66666666666667,1
"discover",4.5241935483871,1
"discovery",4.9,1
"dislike",4.27710843373494,1
"disney",4.71428571428571,1
"display",3.14285714285714,0
"diverse",4.46153846153846,1
"diversity",4.75,1
"dj",4.38235294117647,1
"dollar",3.83653846153846,0
"dollar 10",3.95652173913043,1
"dope",4.92857142857143,1
"dot",4.875,1
"downfall",4.3,1
"download",3.51184433164129,0
"download song",3.72727272727273,0
"downside",4.42857142857143,1
"drain",2.90909090909091,-1
"draw",4.85714285714286,1
"drawback",4.42857142857143,1
"dream",4.5,1
"drive",3.75308641975309,0
"droid",3.0625,0
"drop",3.54166666666667,0
"due",3.4375,0
"ear",4.37142857142857,1
"earbuds",4.125,1
"ease",4.6031746031746,1
"easily",4.32876712328767,1
"east",4.375,1
"east coast",4.83333333333333,1
"easy",4.63247232472325,1
"easy access",4.39285714285714,1
"easy download",5,1
"echo",4.09230769230769,1
"eclectic",4.64285714285714,1
"ed",4.75,1
"eh",3.06666666666667,0
"electronic",4.64705882352941,1
"elvis",4.55555555555556,1
"email",3.15079365079365,0
"encourage",4.42857142857143,1
"endless",4.86206896551724,1
"english",1.83333333333333,-1
"enjoy",4.64125122189638,1
"enjoy create",4.85714285714286,1
"enjoy iheartradio",4.4,1
"enjoy list",4.83333333333333,1
"enjoy pandora",4.69565217391304,1
"enjoy spotify",4.91666666666667,1
"enjoyable",4.71186440677966,1
"enjoyment",4.83333333333333,1
"entertain",4.88888888888889,1
"entertainment",4.64516129032258,1
"entire",3.94117647058824,1
"entire album",4.61538461538461,1
"epic",4.58333333333333,1
"equalizer",4,1
"era",4.81818181818182,1
"error",1.90666666666667,-1
"error message",1.69230769230769,-1
"esp",4.66666666666667,1
"event",4.66666666666667,1
"everyday",4.8,1
"exact",4.16666666666667,1
"excellent",4.81546134663342,1
"excellent choice",4.85714285714286,1
"excellent excellent",5,1
"excellent love",5,1
"excellent product",4.92307692307692,1
"excellent selection",4.9,1
"exceptional",5,1
"excite",3.84444444444444,0
"exercise",4.70588235294118,1
"exist",3.62068965517241,0
"expand",4.4,1
"expect",3.69791666666667,0
"expectation",4.15789473684211,1
"expensive",3.63157894736842,0
"experience",3.86065573770492,1
"explicit",3.46428571428571,0
"explore",4.48387096774194,1
"expose",4.625,1
"extensive",4.41176470588235,1
"extra",3.88235294117647,1
"extremely",3.60526315789474,0
"fabulous",4.91428571428571,1
"facebook",3.65142857142857,0
"facebook account",3.79310344827586,0
"fair",2.8125,-1
"fairly",3.1875,0
"fall",4.42424242424242,1
"fall asleep",5,1
"familiar",4.38709677419355,1
"family",4.68376068376068,1
"family love",4.9,1
"fan",4.04587155963303,1
"fantastic",4.8252427184466,1
"fantastic love",5,1
"fashion",4.125,1
"fast",4.30208333333333,1
"fast download",5,1
"fast forward",4.125,1
"fault",4.3125,1
"fave",4.68181818181818,1
"faves",5,1
"favorite",4.76479873717443,1
"favorite artist",4.74285714285714,1
"favorite band",4.5,1
"favorite channel",4.125,1
"favorite genre",4.89473684210526,1
"favorite local",4.1,1
"favorite radio",4.75,1
"favorite radio station",4.76190476190476,1
"favorite singer",4.7,1
"favorite song",4.78636363636364,1
"favorite station",4.67272727272727,1
"favorite talk",5,1
"favorite tune",5,1
"favorite type",4.5,1
"feature",4.20384615384615,1
"fee",4.06122448979592,1
"feel",4.10924369747899,1
"figure",3.29565217391304,0
"file",2.56666666666667,-1
"fill",4.375,1
"finally",4.12345679012346,1
"fine",3.24305555555556,0
"finger",4.61290322580645,1
"finger tip",4.86363636363636,1
"fingertip",4.92857142857143,1
"fire",3.65359477124183,0
"fire hd",3.73267326732673,0
"fire hd 7",4.14285714285714,1
"fire love",5,1
"fit",4.55769230769231,1
"fix",2.62272727272727,-1
"flaw",3.4,0
"flawless",4.5,1
"flawlessly",4.85714285714286,1
"flow",4.53846153846154,1
"fly",5,1
"focus",4.44444444444444,1
"folder",3.78947368421053,0
"folk",3.64705882352941,0
"follow",4.2156862745098,1
"food",5,1
"force",2.44615384615385,-1
"force close",2.26666666666667,-1
"forever",3.40816326530612,0
"forget",4.01470588235294,1
"form",4.61538461538461,1
"format",4.02564102564103,1
"forward",4.04166666666667,1
"freak",4.23809523809524,1
"free",4.35387547649301,1
"free 2",4.83333333333333,1
"free download",4.15384615384615,1
"free love",4.83333333333333,1
"free pandora",4.23076923076923,1
"free radio",4.33333333333333,1
"free service",4.16666666666667,1
"free song",3.77272727272727,0
"free version",4.19811320754717,1
"freebie",4.14285714285714,1
"freedom",4.06666666666667,1
"freeze",2.84313725490196,-1
"frequently",3.88888888888889,1
"friend",4.58426966292135,1
"friendly",3.54310344827586,0
"front",4.125,1
"frustrate",2.29487179487179,-1
"fun",4.58411214953271,1
"function",3.30357142857143,0
"functionality",2.85714285714286,-1
"future",4.08,1
"galaxy",2.81132075471698,-1
"game",4.10852713178295,1
"garbage",1.11111111111111,-1
"geat",5,1
"genius",5,1
"genre",4.55369928400955,1
"genre artist",4.83333333333333,1
"genre's",4.90909090909091,1
"gift",4.26315789473684,1
"girl",4.59090909090909,1
"glad",4.64485981308411,1
"glitch",3.27777777777778,0
"glitches",3.91891891891892,1
"glitchy",3.23076923076923,0
"god",4.25925925925926,1
"goody",5,1
"google",2.87735849056604,-1
"google play",2.66666666666667,-1
"gosh",4.83333333333333,1
"gospel",4.74285714285714,1
"gotta",4.70588235294118,1
"gotta love",4.88888888888889,1
"gr8",4.71428571428571,1
"granddaughter",4.875,1
"grandkids",4.83333333333333,1
"grandson",4.78571428571429,1
"gripe",3.5,0
"groove",4.83333333333333,1
"grow",4.75675675675676,1
"guess",3.09,0
"guy",3.81132075471698,0
"gym",4.76923076923077,1
"ha",5,1
"half",2.84375,-1
"hand",4.42647058823529,1
"handy",4.675,1
"happen",3.15789473684211,0
"happy",4.63520871143376,1
"happy happy",5,1
"happy happy happy",5,1
"happy love",5,1
"hard",3.21686746987952,0
"hard time",3.13333333333333,0
"hassle",3.70833333333333,0
"hate",2.70967741935484,-1
"hd",3.68376068376068,0
"hd 7",4.14285714285714,1
"hdx",4.0625,1
"head",3.88888888888889,1
"headphone",4.21052631578947,1
"hear",4.37070063694267,1
"hear station",5,1
"heart",4.64160401002506,1
"heart iheartradio",4.86666666666667,1
"heart radio",4.71102661596958,1
"heart radio love",5,1
"heartradio",4.46153846153846,1
"heaven",4.66666666666667,1
"helpful",4.38095238095238,1
"hey",4.04545454545455,1
"highly",4.85,1
"highly recommend",4.89506172839506,1
"hip",3.88461538461538,1
"hip hop",3.84,0
"hit",4.03061224489796,1
"hog",2.66666666666667,-1
"hold",3.8,0
"holiday",4.80952380952381,1
"home",4.47674418604651,1
"home computer",5,1
"home town",4.81818181818182,1
"homework",5,1
"honest",4.1,1
"honestly",4.52380952380952,1
"hook",4.65909090909091,1
"hop",3.88461538461538,1
"hope",3.53719008264463,0
"horizon",4.88888888888889,1
"horrible",1.78260869565217,-1
"hot",4.76923076923077,1
"hour",4.15789473684211,1
"house",4.61904761904762,1
"huge",4.33766233766234,1
"huge selection",4.94736842105263,1
"huge variety",4.875,1
"hundred",3.13636363636364,0
"husband",4.38297872340426,1
"idea",3.75257731958763,0
"idk",4.44444444444444,1
"iheartradio",4.53691275167785,1
"iheartradio iheartradio",4.92307692307692,1
"iheartradio love",4.85714285714286,1
"iheartradio station",4.85714285714286,1
"imagine",4.11111111111111,1
"impress",3.49056603773585,0
"impressive",4.83333333333333,1
"improve",3.96969696969697,1
"improvement",3.73076923076923,0
"include",4.02325581395349,1
"incredible",4.42307692307692,1
"individual",4.41935483870968,1
"individual song",4.35,1
"information",3.22727272727273,0
"ing",4.28571428571429,1
"inside",4.42857142857143,1
"inspire",5,1
"install",2.68062827225131,-1
"instantly",4.93333333333333,1
"interface",3.45454545454545,0
"internal",2.15,-1
"internal memory",1.66666666666667,-1
"internet",4.09282700421941,1
"internet connection",3.79411764705882,0
"internet radio",4.69117647058824,1
"internet radio station",5,1
"interrupt",3.25,0
"interruption",4.70588235294118,1
"interuptions",4.5,1
"introduce",4.625,1
"intrusive",3.3125,0
"intuitive",3.45833333333333,0
"invention",4.8,1
"iphone",3.97297297297297,1
"ipod",3.97916666666667,1
"irritate",3.21428571428571,0
"issue",3.48677248677249,0
"item",3.67391304347826,0
"itunes",3.81379310344828,0
"jam",4.76,1
"jazz",4.71621621621622,1
"jazz station",4.875,1
"job",4.62105263157895,1
"job amazon",4.85714285714286,1
"john",4.4,1
"joy",4.82352941176471,1
"junk",1.5625,-1
"katy",4.83333333333333,1
"katy perry",4.83333333333333,1
"kid",4.38834951456311,1
"kid love",5,1
"kill",3.31578947368421,0
"kinda",3.65384615384615,0
"kindle",3.82065217391304,0
"kindle fire",3.72210065645514,0
"kindle fire hd",3.65882352941176,0
"kindle fire hdx",4.25,1
"kindle fire love",5,1
"kitchen",4.71428571428571,1
"kool",4.875,1
"kudo",5,1
"la",4.35714285714286,1
"lack",3.3,0
"lag",4.04166666666667,1
"laptop",4.2962962962963,1
"late",3.61016949152542,0
"late song",4.90909090909091,1
"late update",1.64285714285714,-1
"launch",1.83333333333333,-1
"lay",4.375,1
"layout",3.375,0
"learn",4.38135593220339,1
"leave",3.4375,0
"library",3.55844155844156,0
"life",4.56349206349206,1
"lift",5,1
"light",4.16666666666667,1
"limit",3.48523206751055,0
"limit commercial",4.42857142857143,1
"line",4.14705882352941,1
"link",3.09375,0
"list",4.12903225806452,1
"listener",4.41304347826087,1
"literally",4.11428571428571,1
"live",4.52868852459016,1
"live radio",4.65625,1
"live station",4.8,1
"load",3.02690582959641,-1
"local",4.32692307692308,1
"local radio",4.71739130434783,1
"local radio station",4.64705882352941,1
"local station",4.33898305084746,1
"locally",4.11111111111111,1
"lock",3.02325581395349,-1
"lock screen",3.55555555555556,0
"log",2.59302325581395,-1
"lol",4.6231884057971,1
"lose",3.38157894736842,0
"lot",4.21360544217687,1
"loud",4.24242424242424,1
"love",4.82030195163864,1
"love amazon",4.68181818181818,1
"love amazon prime",4.89473684210526,1
"love free",4.88888888888889,1
"love hear",4.83333333333333,1
"love iheartradio",4.88983050847458,1
"love iheartradio love",4.83333333333333,1
"love love",4.97658862876254,1
"love love love",4.99259259259259,1
"love love love love",5,1
"love love love pandora",5,1
"love love pandora",4.91666666666667,1
"love love spotify",5,1
"love pandora",4.72340425531915,1
"love pandora love",4.875,1
"love pandora pandora",5,1
"love pandora radio",4.60714285714286,1
"love prime",4.5625,1
"love radio",4.58333333333333,1
"love spotify",4.73008849557522,1
"love spotify love",5,1
"lovely",4.2,1
"lover",4.85185185185185,1
"lover's",5,1
"lovin",4.8,1
"low",3.5,0
"lyric",4.3804347826087,1
"main",3.42307692307692,0
"major",3.09677419354839,0
"manage",4.05263157894737,1
"manually",3.28571428571429,0
"match",4.13793103448276,1
"matter",4.08,1
"medium",4,1
"meet",4.15151515151515,1
"meh",2.81818181818182,-1
"membership",3.94354838709677,1
"memory",3.7,0
"mention",3.92,1
"message",2.14285714285714,-1
"metal",3.8695652173913,1
"middle",3.125,0
"mind",4.36559139784946,1
"mine",3.90909090909091,1
"mini",4.11111111111111,1
"minimal",4.625,1
"minor",4.23076923076923,1
"minute",3.13333333333333,0
"miss",3.77777777777778,0
"mix",4.48965517241379,1
"mixture",4.875,1
"mo",4.375,1
"mobile",3.58823529411765,0
"mobile device",3.6,0
"mode",3.6551724137931,0
"modern",4.45454545454545,1
"mom",4.52631578947368,1
"moment",4.25,1
"money",3.584,0
"month",3.84251968503937,0
"monthly",4.36,1
"monthly fee",3.93333333333333,1
"monthly subscription",5,1
"mood",4.85789473684211,1
"morning",4.86666666666667,1
"move",3.58888888888889,0
"movie",4.42857142857143,1
"mp3",3.63285024154589,0
"mu",4.96296296296296,1
"multiple",3.8,0
"multiple device",4.4,1
"musical",4.56164383561644,1
"musical taste",4.4,1
"musician",4.8,1
"na",3.75959933222037,0
"navigate",3.79661016949153,0
"navigation",3.69565217391304,0
"neat",4.09090909090909,1
"negative",4.26315789473684,1
"net",3.93333333333333,1
"network",2.45945945945946,-1
"newly",4.33333333333333,1
"news",4.43243243243243,1
"nice",4.46967559943583,1
"nice addition",4.55555555555556,1
"nice nice",4.97826086956522,1
"nice selection",4.32142857142857,1
"nice variety",4.33333333333333,1
"nicely",4.5,1
"night",4.62650602409639,1
"nonstop",4.66666666666667,1
"note",2.8,-1
"notice",3.16,0
"notification",2.27777777777778,-1
"numb",3.69512195121951,0
"numb 1",4.77272727272727,1
"numb 45",1,-1
"numb 60",4.92307692307692,1
"numb 60 3",5,1
"obscure",4.5,1
"obsolete",5,1
"occasion",4.52173913043478,1
"occasional",4.61111111111111,1
"occasionally",3.57142857142857,0
"odd",4.125,1
"offer",4.28662420382166,1
"offering",4.58333333333333,1
"office",4.82608695652174,1
"offline",4.02758620689655,1
"oldie",4.75,1
"omg",4.88,1
"one's",4.22222222222222,1
"online",4.0609756097561,1
"online radio",4.57142857142857,1
"operate",3.76470588235294,0
"opinion",4.35,1
"opportunity",4.15789473684211,1
"option",4.06081081081081,1
"organize",4.44736842105263,1
"original",3.53846153846154,0
"outstanding",4.93181818181818,1
"page",2.6551724137931,-1
"pain",2.57142857142857,-1
"pandora",4.47518111081299,1
"pandora account",4.58333333333333,1
"pandora awesome",4.85714285714286,1
"pandora fan",4.63636363636364,1
"pandora love",4.93617021276596,1
"pandora love pandora",4.92307692307692,1
"pandora medium",4.7,1
"pandora offer",4.6,1
"pandora pandora",4.86206896551724,1
"pandora play",4.86666666666667,1
"pandora provide",4.85714285714286,1
"pandora radio",4.49253731343284,1
"pandora rock",4.91891891891892,1
"pandora's",4.23076923076923,1
"parent",4.54545454545455,1
"park",4.625,1
"party",4.27868852459016,1
"past",4.24137931034483,1
"pause",3.23076923076923,0
"pay",3.6463963963964,0
"pay monthly",4.57142857142857,1
"pay version",4.63157894736842,1
"pc",3.61206896551724,0
"penny",4.70588235294118,1
"people",3.95575221238938,1
"people's",4.625,1
"percent",3.89130434782609,1
"perfect",4.78370786516854,1
"perfect radio",5,1
"perfect song",4.25,1
"perfection",4.875,1
"perfectly",4.43396226415094,1
"perform",3.38888888888889,0
"performance",3.92,1
"performer",4.72727272727273,1
"period",4.08823529411765,1
"perk",4.79411764705882,1
"permission",2.05,-1
"perry",4.875,1
"person",4.1304347826087,1
"personal",4.16304347826087,1
"personal playlists",4.57142857142857,1
"personal station",4.33333333333333,1
"personalize",4.69047619047619,1
"personalize radio",4.28571428571429,1
"personally",4.35135135135135,1
"phenomenal",4.9,1
"phone",3.60046189376443,0
"phone tablet",4.875,1
"piano",4.77777777777778,1
"pick",4.49152542372881,1
"pick song",4.23529411764706,1
"piece",3.07407407407407,0
"plan",4.02173913043478,1
"planet",4.28571428571429,1
"platform",3.79166666666667,0
"play",3.86418458311484,1
"play game",4.74285714285714,1
"play list",4.26229508196721,1
"play offline",4.66666666666667,1
"play pandora",4.81818181818182,1
"play similar",4.88888888888889,1
"play song",3.60714285714286,0
"playback",3.28571428571429,0
"player",3.67711598746082,0
"playlist",4.19602272727273,1
"playlists",4.32258064516129,1
"pleasant",4.7,1
"pleasantly",4.66666666666667,1
"pleasantly surprise",4.66666666666667,1
"pleasure",4.68965517241379,1
"plenty",4.33333333333333,1
"plug",4.59259259259259,1
"podcast",4.375,1
"podcasts",4.63157894736842,1
"pool",5,1
"poor",2.26829268292683,-1
"poorly",1.45454545454545,-1
"pop",3.80672268907563,0
"popular",3.7962962962963,0
"portable",4.55555555555556,1
"positive",3.125,0
"praise",4.33333333333333,1
"pre",4.16666666666667,1
"prefer",4.0875,1
"premium",4.16257668711656,1
"premium account",4.66666666666667,1
"premium version",4.7,1
"press",3.75,0
"pretty",4.07744107744108,1
"pretty awesome",4.52941176470588,1
"pretty cool",4.45454545454545,1
"preview",4.36363636363636,1
"price",4.27067669172932,1
"prime",3.86623616236162,1
"prime account",3.36111111111111,0
"prime benefit",4.4,1
"prime love",4.8,1
"prime membership",3.88888888888889,1
"pro",3.72413793103448,0
"product",4.14601769911504,1
"product easy",4.66666666666667,1
"program",4.06565656565657,1
"promise",3.82608695652174,0
"properly",2.52173913043478,-1
"provide",4.36263736263736,1
"public",4.375,1
"pull",3.80769230769231,0
"purchase",3.49305555555556,0
"quality",4.45454545454545,1
"question",3.47058823529412,0
"queue",4.22222222222222,1
"quick",4.37735849056604,1
"quickly",3.87096774193548,1
"quit",2.85714285714286,-1
"radio",4.56298600311042,1
"radio love",4.95,1
"radio pandora",4.875,1
"radio play",4.625,1
"radio program",4.6,1
"radio reception",4.83333333333333,1
"radio station",4.58717434869739,1
"random",3.9,1
"random song",4.08333333333333,1
"randomly",3.08571428571429,0
"range",4.32,1
"rap",4.15,1
"rare",4.92307692307692,1
"rarely",3.46666666666667,0
"rate",3.88165680473373,1
"rate 5",4.42857142857143,1
"ray",4.81818181818182,1
"reach",3.2,0
"read",4.18181818181818,1
"real",3.85897435897436,1
"real radio",5,1
"realize",3.625,0
"reason",3.45,0
"reasonable",4.52631578947368,1
"reasonable price",5,1
"receive",3.42857142857143,0
"recent",3.05128205128205,0
"recently",3.91525423728814,1
"reception",4.5,1
"recommend",4.69329529243937,1
"recommend pandora",4.25,1
"recommend spotify",4.375,1
"record",3.70588235294118,0
"refund",1.33333333333333,-1
"refuse",2.38095238095238,-1
"regret",4.64516129032258,1
"regular",4.12280701754386,1
"regular radio",4.79166666666667,1
"reinstall",1.66666666666667,-1
"relax",4.70149253731343,1
"reliable",4.03703703703704,1
"rely",4.22222222222222,1
"remain",3.9,1
"remember",3.85294117647059,1
"remove",2.51923076923077,-1
"renew",2.65,-1
"repeat",3.43589743589744,0
"repetitive",3.57142857142857,0
"replace",4.03846153846154,1
"replay",4.4,1
"request",3.35135135135135,0
"require",2.79032258064516,-1
"rest",4.32258064516129,1
"restart",2.73809523809524,-1
"result",3.83333333333333,0
"review",3.6875,0
"rich",4.66666666666667,1
"rid",3.44444444444444,0
"ride",4.83333333333333,1
"ridiculous",2.2,-1
"road",4.54054054054054,1
"road trip",4.41666666666667,1
"rock",4.71794871794872,1
"rock love",4.875,1
"roku",4.1,1
"roll",4.6,1
"round",4.44444444444444,1
"rule",4.85714285714286,1
"run",3.45,0
"rush",4.625,1
"sad",2.35135135135135,-1
"samsung",2.74324324324324,-1
"samsung galaxy",2.88888888888889,-1
"satellite",4.94117647058824,1
"satellite radio",4.91666666666667,1
"satisfy",4.64285714285714,1
"sauce",5,1
"save",4.04469273743017,1
"save song",4.55555555555556,1
"save station",4.71428571428571,1
"school",4.53125,1
"screen",2.61184210526316,-1
"sd",2.47272727272727,-1
"sd card",2.42,-1
"seamlessly",4.5,1
"search",3.93560606060606,1
"select",4.31382978723404,1
"selection",4.44018583042973,1
"selection easy",4.92307692307692,1
"selection love",4.84615384615385,1
"send",2.64102564102564,-1
"senior",4.375,1
"sense",3.28571428571429,0
"separate",3.64285714285714,0
"server",3.6,0
"service",3.97614991482112,1
"service love",4.8,1
